crmrte,prbarr,prbconv,prbpris,polpc,density,urban,awage,lawage,crime
0.0398849,0.289696,0.402062,0.472222,0.0017868,2.307159,0,257.4241,5.550724919,1
0.0383449,0.338111,0.433005,0.506993,0.0017666,2.330254,0,272.7497,5.608554525,1
0.0303048,0.330449,0.525703,0.479705,0.0018358,2.341801,0,396.5378,5.982771371,0
0.0347259,0.362525,0.604706,0.520104,0.0018859,2.34642,0,299.1779,5.70103838,1
0.036573,0.325395,0.578723,0.497059,0.0019244,2.364896,0,312.5454,5.744749739,1
0.0347524,0.326062,0.512324,0.439863,0.0018952,2.385681,0,324.4893,5.782252562,1
0.0356036,0.29827,0.527596,0.43617,0.0018279,2.422633,0,339.4323,5.827274516,1
0.0163921,0.202899,0.869048,0.465753,0.0005939,0.976834,0,231.073,5.442733678,0
0.0190651,0.162218,0.772152,0.377049,0.0007047,0.992278,0,257.8745,5.552473032,0
0.0151492,0.181586,1.02817,0.438356,0.0006587,1.003861,0,281.5681,5.640374337,0
0.0136621,0.194986,0.885714,0.5,0.0006089,1.015444,0,264.0111,5.575991148,0
0.0120346,0.206897,0.909091,0.366667,0.0006413,1.030888,0,510.3591,6.235114596,0
0.0129982,0.156069,1.03704,0.392857,0.0006762,1.034749,0,284.7852,5.651735212,0
0.0152532,0.132029,1.48148,0.45,0.0007459,1.046332,0,294.7643,5.686176054,0
0.0093372,0.406593,0.27027,0.5,0.0008209,0.4127659,0,204.0445,5.318338107,0
0.0123229,0.38,0.736842,0.392857,0.0013555,0.4170213,0,216.4189,5.377215881,0
0.0128064,0.561905,0.559322,0.272727,0.0013416,0.4170213,0,419.6425,6.039403158,0
0.0138299,0.666667,0.447368,0.411765,0.0013345,0.4170213,0,230.2418,5.439130061,0
0.0124753,0.60396,0.180328,0.545455,0.0014822,0.4127659,0,239.363,5.477981228,0
0.0142385,0.695652,0.270833,0.269231,0.001135,0.4127659,0,270.4311,5.600017352,0
0.0129603,0.444444,0.267857,0.6,0.0012343,0.4127659,0,283.7386,5.648053392,0
0.0219159,0.431095,0.627049,0.431373,0.0014327,0.4821764,0,240.0475,5.48083682,0
0.0173807,0.612335,0.582734,0.37037,0.0014165,0.4878049,0,255.5708,5.543499475,0
0.024211,0.419405,0.787313,0.236967,0.0014398,0.489681,0,288.9087,5.666110721,0
0.0223434,0.412458,0.497959,0.442623,0.0015046,0.4915572,0,277.077,5.624295446,0
0.0245848,0.380655,0.381148,0.483871,0.0015341,0.4934334,0,286.421,5.657462756,0
0.0241281,0.308057,0.615385,0.483333,0.0014103,0.4934334,0,304.6803,5.71926303,0
